name,old_price,new_price,promotion,reviews_amount,reviews_rating_number
Café Arábica Beneficiado Bourbon Amarelo Loretto 86 Pontos,104,,,,
Café Torrado E Moído Grosso Prensa Francesa 500g Dosadora,78,74,5% OFF,,
Kit 5 Café Gourmet Appassionato Médio Em Grão Expresso 1kg,490,441,10% OFF,(81),4.7
Café Moído Latitude 13 Blend Chapada Diamantina 250g,93,,,(7),4.6
500g Café Gourmet Torra Média 100% Arábica Alta Mogiana ,78,57,27% OFF,(37),4.6
Café Delta Q Torrado Grão Prensa Francesa 300ml Moedor Inox,174,160,8% OFF,(1),5.0
Café Gourmet Torrado/moido 100% Árabica Aromas Baggio 250gr,44,42,5% OFF,(204),4.8
Kit 3 Cafés Em Pó Saborizados 250g Caramelo Canela Baunilha,109,,,,
Café Gourmet Vulcânica 500g Arábica 82pt Solos Vulcânicos,74,,,,
Café Torrado E Moído 3 Corações Cerrado Mineiro 250g,33,27,17% OFF,(28),4.3
Café Aviação Gourmet Pouch 500g,95,,,(28),4.2
Kit 6 Kg Café Gourmet Ouro Da Mogiana Em Grão - Frete Grátis,695,640,7% OFF,(10),4.8
4kg Café Vô Luiz Gourmet- Intenso -grão Torrado-100% Arábica,353,34,,(1),5.0
"Café Torrado Em Grãos Loretto Bourbon Amarelo 86,25 Pontos",69,,,(3),4.3
Drip Coffe Gourmet Dark Roast 3 Corações,42,21,,,
30 Sachês 10g Café Drip Coffee Tres Corações Dark Gourmet,92,,,(24),5.0
Café 100% Arábica - Torrado E Moído - 2 Un Anta Brava 500g,119,29,,(12),4.8
Café Torrado Em Grão América Gourmet 500g,78,66,16% OFF,(1),5.0
Café Gourmet Colombiano Torra Escura 500g Grãos Extra Forte,99,91,8% OFF,,
Kit 5 Café Floresta Aromatizado Amêndoas Torradas - 100g,101,25,,(53),4.9
Café Do Jacu Em Pó Café De Reportagem  Pontuação Alta 150g,280,145,48% OFF,,
Café Gourmet 3 Corações Em Grão Torra Média Especial 1kg,159,142,11% OFF,(10),5.0
Café Especial 82 pontos em Grãos Santa Monica 250g,38,,,(94),4.8
 Cafe Moido Gourmet 100% Arábica Kit 5kg Café São Sebastião,379,37,,(21),4.8
Café Torrado em Grãos Espresso Santa Lúcia Pacote 500g,51,,,,
4 Un. Café Gourmet Em Pó Ouro Da Mogiana Torrado Moído 500g,182,,,(5),4.6
Kit 2 Café Tradicional 500g Pó Arábica Moído - Gomes E Bueno,98,78,20% OFF,(2),5.0
Café Vulcânica Gourmet 500g - Notas De Caramelo -seleção 82+,74,,,(8),4.9
Kit 20 Sachês Drip Coffee Café 3 Corações Tradicional 10g,78,,,,
L'or Torrado E Moído Ferrari Ímola Ristretto 250g,39,,,,
Café Arabica Em Pó Gourmet Vô Luiz - 500g,44,,,,
Kit 5kg Cafe Gourmet Em Graos 100% Arábica São Sebastião,514,51,,(60),4.7
Café Especial Torrado em Grãos Clássico Orfeu Pacote 1kg,187,112,39% OFF,(1101),4.8
Café Em Graos Gourmet Torrado Notas Chocolate Suave 1kg Doce,124,,,(25),4.8
Café em Grão Bicafé Gourmet Las Vegas 1 kg,109,98,10% OFF,(2),4.5
Café Em Grão Loretto Bourbon Amarelo - 500g,69,,,(10),4.7
Kit 3kg Café Especial Dupan Em Grãos Arábica Gourmet,309,285,7% OFF,(2),5.0
"Kit Café Gourmet Moído São Sebastião 2,5kg",236,23,,(38),4.9
Café Gourmet Torrado Moído Aroma Creme Brulee Capresso 250g,32,16,,(3),3.7
Café Torrado E Moido Appassionato Torra Media Gourmet 250g,28,26,7% OFF,(3),4.3
Café Gourmet Grassy Caffè - 1 Kg Em Grãos,112,,,(35),4.9
Café Muchoqueiro Gourmet 100% Arábica Torrado Moído,50,,,(1),4.0
Café Expresso Em Grãos Delta Café Gold Gourmet Kit 2kg,238,215,10% OFF,(5),5.0
Café Gourmet Mantissa Em Grãos - 500g,146,110,24% OFF,(1),5.0
Café Torrado Moído 1 Kg 100% Arábica Gourmet Torra Média,119,,,(40),4.8
Café Torrado E Moído Sul De Minas Gourmet  3 Corações Pacote,30,,,(15),4.9
Café Casa Brasil Gourmet 500g 100% Arábica Alta Mogiana,59,,,,
Café Em Grão Loretto Bourbon Amarelo - Kit Com 3 Unidades,184,,,(8),4.4
Café Em Grão Expresso Arábica Torra Média Gourmet Pct 03kgs,368,332,10% OFF,,
1kg Café Em Grãos Gourmet Torrado 100% Arábicasantos Mogiana,177,106,40% OFF,(22),4.7
Café Gourmet Em Grãos Torra Clara 250g Guardião 100% Conilon,78,41,47% OFF,,
Café Gourmet Grassy Caffè 1 Kg Em Grãos,102,,,(11),4.5
Café Gourmet Em Grãos 100% Arábica Intenso - 1kg,111,,,(13),4.5
Kit 5 Kg Café Gourmet Em Grão Ouro Da Mogiana Frete Grátis,578,532,7% OFF,(4),4.8
Café Gourmet Torrado E Moído 250g - Ibriq,39,36,7% OFF,,
Café De Açaí Chafe Torrado E Moído 100% Vegano - 500 Gramas,33,,,(110),4.1
Café Gourmet Ouro Da Mogiana 500g Em Grãos Ou Escolha Moagem,61,,,(10),4.6
